N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
190,SK네트웍스,"5,400",180,-3.23%,"2,500","13,402","248,188",13.05,"614,556",12.95,1.63,
191,후성,"14,200",450,-3.07%,500,"13,150","92,607",6.82,"4,626,017",373.68,2.79,
192,솔루엠,"26,400",400,+1.54%,500,"13,149","49,806",8.36,"1,152,615",25.83,43.26,
193,부광약품,"18,350","1,250",-6.38%,500,"13,040","71,063",3.86,"1,159,656",-116.14,-2.46,
194,TIGER TOP10,"14,175",190,-1.32%,0,"12,935","91,250",0.15,"226,153",N/A,N/A,
195,에스엘,"26,750","1,450",-5.14%,500,"12,894","48,203",17.47,"235,574",11.68,4.74,
196,신세계인터내셔날,"180,500","17,500",-8.84%,"5,000","12,888","7,140",5.82,"82,821",18.50,8.24,
197,TIGER 단기통안채,"100,270",5,0.00%,0,"12,726","12,692",0.93,986,N/A,N/A,
198,지누스,"79,900","3,200",-3.85%,500,"12,625","15,800",22.09,"186,571",26.37,11.61,
199,롯데관광개발,"17,650",650,-3.55%,500,"12,227","69,276",6.31,"505,257",-9.87,-30.43,
200,롯데칠성,"130,000","3,000",-2.26%,500,"12,063","9,279",8.68,"34,529",52.95,-1.00,
